j = 1/2+    -53.5511
    14.700      -0.000018      -0.000002
    14.800      -0.000014      -0.000002
    14.900      -0.000011      -0.000001
    15.000      -0.000008      -0.000001
    15.100      -0.000006      -0.000001
    15.200      -0.000005      -0.000001
    15.300      -0.000004      -0.000000
    15.400      -0.000003      -0.000000
    15.500      -0.000002      -0.000000
    15.600      -0.000002      -0.000000
    15.700      -0.000001      -0.000000
    15.800      -0.000001      -0.000000
    15.900      -0.000001      -0.000000
    16.000      -0.000001      -0.000000
    16.100      -0.000000      -0.000000
    16.200      -0.000000      -0.000000
    16.300      -0.000000      -0.000000
    16.400      -0.000000      -0.000000
    16.500      -0.000000      -0.000000
    16.600      -0.000000      -0.000000
    16.700      -0.000000      -0.000000
    16.800      -0.000000      -0.000000
    16.900      -0.000000      -0.000000
    17.000      -0.000000      -0.000000
    17.100      -0.000000      -0.000000
    17.200      -0.000000      -0.000000
    17.300      -0.000000      -0.000000
    17.400      -0.000000      -0.000000
    17.500      -0.000000      -0.000000
    17.600      -0.000000      -0.000000
    17.700      -0.000000      -0.000000
    17.800      -0.000000      -0.000000
    17.900      -0.000000      -0.000000
    18.000      -0.000000      -0.000000
    18.100      -0.000000      -0.000000
    18.200      -0.000000      -0.000000
    18.300      -0.000000      -0.000000
    18.400      -0.000000      -0.000000
    18.500      -0.000000      -0.000000
    18.600      -0.000000      -0.000000
    18.700      -0.000000      -0.000000
    18.800      -0.000000      -0.000000
    18.900      -0.000000      -0.000000
    19.000      -0.000000      -0.000000
    19.100      -0.000000      -0.000000
    19.200      -0.000000      -0.000000
j = 1/2+     31.2233
     0.000       0.627138       0.191541
     0.100       0.624450       0.190824
     0.200       0.616412       0.188678
     0.300       0.603099       0.185117
     0.400       0.584641       0.180171
     0.500       0.561224       0.173878
     0.600       0.533095       0.166290
     0.700       0.500564       0.157477
     0.800       0.464010       0.147523
     0.900       0.423880       0.136528
     1.000       0.380693       0.124615
     1.100       0.335037       0.111921
     1.200       0.287564       0.098602
     1.300       0.238983       0.084831
     1.400       0.190047       0.070796
     1.500       0.141543       0.056695
     1.600       0.094269       0.042735
     1.700       0.049022       0.029126
     1.800       0.006571       0.016074
     1.900      -0.032361       0.003780
     2.000      -0.067124      -0.007568
     2.100      -0.097153      -0.017801
     2.200      -0.121996      -0.026773
     2.300      -0.141325      -0.034366
     2.400      -0.154948      -0.040493
     2.500      -0.162819      -0.045103
     2.600      -0.165037      -0.048180
     2.700      -0.161849      -0.049744
     2.800      -0.153640      -0.049852
     2.900      -0.140917      -0.048594
     3.000      -0.124301      -0.046092
     3.100      -0.104497      -0.042494
     3.200      -0.082277      -0.037968
     3.300      -0.058453      -0.032702
     3.400      -0.033848      -0.026891
     3.500      -0.009273      -0.020734
     3.600       0.014499      -0.014428
     3.700       0.036759      -0.008163
     3.800       0.056879      -0.002113
     3.900       0.074330       0.003563
     4.000       0.088695       0.008731
     4.100       0.099677       0.013280
     4.200       0.107100       0.017127
     4.300       0.110912       0.020217
     4.400       0.111177       0.022519
     4.500       0.108067       0.024034
     4.600       0.101848       0.024781
     4.700       0.092867       0.024807
     4.800       0.081535       0.024172
     4.900       0.068308       0.022954
     5.000       0.053668       0.021242
     5.100       0.038106       0.019131
     5.200       0.022107       0.016720
     5.300       0.006131       0.014108
     5.400      -0.009398       0.011390
     5.500      -0.024102       0.008654
     5.600      -0.037660       0.005982
     5.700      -0.049812       0.003442
     5.800      -0.060363       0.001094
     5.900      -0.069179      -0.001018
     6.000      -0.076193      -0.002860
     6.100      -0.081393      -0.004411
     6.200      -0.084823      -0.005661
     6.300      -0.086572      -0.006613
     6.400      -0.086767      -0.007276
     6.500      -0.085567      -0.007668
     6.600      -0.083151      -0.007814
     6.700      -0.079714      -0.007742
     6.800      -0.075454      -0.007485
     6.900      -0.070572      -0.007077
     7.000      -0.065259      -0.006551
     7.100      -0.059694      -0.005940
     7.200      -0.054040      -0.005275
     7.300      -0.048442      -0.004584
     7.400      -0.043021      -0.003893
     7.500      -0.037878      -0.003223
     7.600      -0.033091      -0.002591
     7.700      -0.028715      -0.002010
     7.800      -0.024787      -0.001491
     7.900      -0.021324      -0.001039
     8.000      -0.018328      -0.000659
     8.100      -0.015784      -0.000349
     8.200      -0.013671      -0.000109
     8.300      -0.011954       0.000068
     8.400      -0.010596       0.000185
     8.500      -0.009553       0.000249
     8.600      -0.008780       0.000269
     8.700      -0.008233       0.000251
     8.800      -0.007868       0.000203
     8.900      -0.007644       0.000133
     9.000      -0.007524       0.000047
     9.100      -0.007473      -0.000049
     9.200      -0.007464      -0.000148
     9.300      -0.007471      -0.000247
     9.400      -0.007476      -0.000342
     9.500      -0.007463      -0.000429
     9.600      -0.007421      -0.000506
     9.700      -0.007343      -0.000572
